date,last day of the month,dataset type,number of datasets
28/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
28/07/2016,0,n3,28
28/07/2016,0,x-qgis,18
28/07/2016,0,octet-stream,18
28/07/2016,0,x-dbase,18
28/07/2016,0,json,17
28/07/2016,0,plain,13
28/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
28/07/2016,0,rss+xml,6
28/07/2016,0,rdf,5
28/07/2016,0,tiff,5
28/07/2016,0,x-javascript,4
28/07/2016,0,x-shockwave-flash,4
28/07/2016,0,ms-word,3
28/07/2016,0,png,2
28/07/2016,0,x-n3,1
28/07/2016,0,x-mxd,1
28/07/2016,0,x-msaccess,1
28/07/2016,0,vnd.google-earth.kml+xml,1
29/07/2016,0,zip,11042
29/07/2016,0,x-gzip,6394
29/07/2016,0,tsv,6387
29/07/2016,0,xml,827
29/07/2016,0,pdf,726
29/07/2016,0,csv,456
29/07/2016,0,html,360
29/07/2016,0,vnd.ms-excel,235
29/07/2016,0,rdf_xml,129
29/07/2016,0,sparql,32
29/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
29/07/2016,0,n3,28
29/07/2016,0,x-qgis,18
29/07/2016,0,msaccess,18
29/07/2016,0,x-dbase,18
29/07/2016,0,json,17
29/07/2016,0,plain,13
29/07/2016,0,octet-stream,9
29/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
29/07/2016,0,rss+xml,6
29/07/2016,0,rdf,5
29/07/2016,0,tiff,5
29/07/2016,0,x-javascript,4
29/07/2016,0,x-shockwave-flash,4
29/07/2016,0,ms-word,3
29/07/2016,0,png,2
29/07/2016,0,x-n3,1
29/07/2016,0,x-mxd,1
29/07/2016,0,x-msaccess,1
29/07/2016,0,vnd.google-earth.kml+xml,1
30/07/2016,0,zip,11049
30/07/2016,0,x-gzip,6401
30/07/2016,0,tsv,6394
30/07/2016,0,xml,827
30/07/2016,0,pdf,726
30/07/2016,0,csv,456
30/07/2016,0,html,360
30/07/2016,0,vnd.ms-excel,235
30/07/2016,0,rdf_xml,129
30/07/2016,0,sparql,32
30/07/2016,0,vnd.openxmlformats-officedocument.presentationml.presentation,31
30/07/2016,0,n3,28
30/07/2016,0,x-qgis,18
30/07/2016,0,msaccess,18
30/07/2016,0,x-dbase,18
30/07/2016,0,json,17
30/07/2016,0,plain,13
30/07/2016,0,octet-stream,9
30/07/2016,0,vnd.openxmlformats-officedocument.spreadsheetml.sheet,7
30/07/2016,0,rss+xml,6
30/07/2016,0,rdf,5
30/07/2016,0,tiff,5
30/07/2016,0,x-javascript,4
30/07/2016,0,x-shockwave-flash,4
30/07/2016,0,ms-word,3
30/07/2016,0,png,2
30/07/2016,0,x-n3,1
30/07/2016,0,x-mxd,1
